codigo,nombre,costo_neto,precio_venta,marca_fabricante
1508005,Cable para descarga de datos Magnamed,0.00,,""
1508006,DISPLAY BACKLIGHT CABLE,0.00,,""
1509001,Bateria 4400MA BEDSIDE SPO2 original,0.00,,""
1509002,Batería de 8 celdas Inogen One G4 BA-408,2109750.00,2131500.00,""
1509003,Batería p/conc. portátil LONGFIAN JAY-10D,0.00,,""
1509004,Batería p/PB560 Ref. PT00075778,0.00,,""
1509005,Batería p/conc. portátil INOGEN ROVE6,0.00,,""
1509006,Batería externa generica p/terapia de sueño,0.00,,""
1509007,Bateria Prisma Vent 40 Lowestein,0.00,,""
1509008,BATERÍA GEL 6V 7Ah,0.00,,""
1510001,Compresor compatible c/conc. G3 SP-509,2400750.00,2425500.00,""
1510002,Kit de compresor p/Inogen At Home SP-615,43577.25,145287.45,""
1510003,Kit de compresor compatible c/conc. G4 SP-709,2400750.00,2425500.00,""
1510004,CAMISAS 72mm,0.00,,""
1510005,SILENCIADOR LONGFIAN JAY-5/JAY-10,0.00,,""
1510006,SILENCIADOR LONGFIAN JAY-5Q,0.00,,""
1511001,Kit de interfaz de usuario compat. conc. G4 SP-719,0.00,,""
1511002,PANEL INTERFAZ DE USUARIO COMPATIBLE C/CONC G3,0.00,,""
1511003,KIT ROTARY KNOB,0.00,,""
1512001,Kit de panel de acceso compatible conc. G4 SP-715,72750.00,73500.00,""
1513001,Columnas compatible c/conc. G4 SP-714,0.00,,""
1514001,Compresor LONGFIAN JAY-5AW,8730.00,11907.00,""
1514002,Cilindro para compresor LONGFIAN JAY-5,0.00,,""
1514003,Cilindro para compresor LONGFIAN JAY-5AW,0.00,,""
1514004,COMPRESOR COMPLETO LONGFIAN JAY-10,0.00,,""
1514005,SILENCIADOR KONSUNG,0.00,,""
1514006,COMPRESOR AirSep New Life,0.00,,""
1515001,Celda de O2 ANALYTICAL INDUSTRIES PSR 11-75-KE7,0.00,,""
1515002,FIO2 CONCENTRATION MEASUREMENT CELL - INTERNAL,0.00,,""
