os,fecha_ingreso,fecha_entrega,cliente,marca,modelo,tipo_equipo,quote_item_id,tipo_item,item_descripcion,qty,precio_u,costo_u_neto,repuesto_codigo,descripcion_problema,trabajos_realizados
28907,2025-12-23 00:00:00,2026-01-13 12:00:10,SIED,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,3671,repuesto,Base plastica,1.00,45000.00,"","","compresor ruidoso
silenciadores sueltos
base plástica rota
zeolita degradada",cambio de base plástica - cambio de labios - cambio de flapers - ajuste de silenciadores - cambio de filtros - cambio de zeolita - cambio de tapa superior -  ajuste de tecla ON/OFF
28908,2025-12-23 00:00:00,2026-01-14 07:17:00,SIED,AirSep,NewLife Elite,CONCENTRADOR DE OXÍGENO,3679,repuesto,Ceolitas,1.00,195750.00,"","",zeolita degradada,cambiar zeolita (CAN 0030/31) - cambio de filtros - control y limpieza del equipo
28909,2025-12-23 00:00:00,2026-01-13 12:00:29,SIED,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3674,repuesto,Baterías,1.00,58725.00,"","",VALVULA AGUJA SUELTA,"ADAPTADOR SOPORTE VALVULA AGUJA, 2 DE BATERIAS DE 6V 4 AMP LOT 9970, LUBRICACION MOTOR, CAMBIO DE SOPORTE BATERIA LIMPIEZA INTERIOR, CAMBIO DE VACUOMETRO LOTE 26912"
28909,2025-12-23 00:00:00,2026-01-13 12:00:29,SIED,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3675,repuesto,Vacuómetro,1.00,52852.50,"","",VALVULA AGUJA SUELTA,"ADAPTADOR SOPORTE VALVULA AGUJA, 2 DE BATERIAS DE 6V 4 AMP LOT 9970, LUBRICACION MOTOR, CAMBIO DE SOPORTE BATERIA LIMPIEZA INTERIOR, CAMBIO DE VACUOMETRO LOTE 26912"
28910,2025-12-23 00:00:00,2026-01-13 11:59:13,SIED,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3667,repuesto,Baterías,1.00,58725.00,"","","BAJA ASPIRACION POR FLAPPER DE MOTOR ROTO, SIN LUBRICANTE Y LABIO TOTALMENTE SUCIO - CARCAZA FRONTAL ROTA - VACUOMETRO DESCALIBRADO - BATERIAS OBSOLETAS - CIRCUITO NEUMATICO CONTAMINADO DE SUCIEDAD - PLACA OK","REQUIERE CAMBIO DE PACK DE BATERIAS 6V 4A - VACUOMETRO - CAMBIO DE CARCAZA FRONTAL - CIRCUITO NEUMATICO - LIMPIEZA Y LUBRICACION DE MOTOR COMPLETO CON GRASA LIQUIDA WURTH, CAMBIO DE FLAPPER(HECHO) - "
28910,2025-12-23 00:00:00,2026-01-13 11:59:13,SIED,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3668,repuesto,Vacuómetro,1.00,52852.50,"","","BAJA ASPIRACION POR FLAPPER DE MOTOR ROTO, SIN LUBRICANTE Y LABIO TOTALMENTE SUCIO - CARCAZA FRONTAL ROTA - VACUOMETRO DESCALIBRADO - BATERIAS OBSOLETAS - CIRCUITO NEUMATICO CONTAMINADO DE SUCIEDAD - PLACA OK","REQUIERE CAMBIO DE PACK DE BATERIAS 6V 4A - VACUOMETRO - CAMBIO DE CARCAZA FRONTAL - CIRCUITO NEUMATICO - LIMPIEZA Y LUBRICACION DE MOTOR COMPLETO CON GRASA LIQUIDA WURTH, CAMBIO DE FLAPPER(HECHO) - "
28911,2025-12-23 00:00:00,2026-01-13 08:57:00,SIED,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3677,repuesto,Vacuómetro,1.00,52852.50,"","",NO CARGA BATERIAS VACUOMETRO DESFASADO 40 MMHG,"CAMBIO DE FUSE 3 AMP MINIFICHA, CAMBIO VACUOMETRO (LOTE 26912)"
28915,2025-12-24 00:00:00,2026-01-07 06:48:00,NOVAMED S.A.,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3658,repuesto,pack de baterias 6v 4a,1.00,58725.00,"","",vacuómetro descalibrado - baterías obsoletas - equipo no cargaba por componente faltante en placa,"se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg"
28915,2025-12-24 00:00:00,2026-01-07 06:48:00,NOVAMED S.A.,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3659,repuesto,vacuometro,1.00,52852.50,"","",vacuómetro descalibrado - baterías obsoletas - equipo no cargaba por componente faltante en placa,"se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg"
28915,2025-12-24 00:00:00,2026-01-07 06:48:00,NOVAMED S.A.,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3660,repuesto,diagnostico prioritario,1.00,30000.00,"","",vacuómetro descalibrado - baterías obsoletas - equipo no cargaba por componente faltante en placa,"se cambió pack de baterías 6v 4a  lote  9970- cambio de vacuómetro   lote 26912 más conector plástico - reparación de placa 
aspiración máxima 540mmHg"
28918,2025-12-29 00:00:00,2025-12-31 11:38:00,RUSSO PABLO MATIAS,BMC,PolyWatch YH-600B,POLÍGRAFO,3661,repuesto,CAble,1.00,65000.00,"","",no sensa flujo y Respiración toracoabdominal por cable de kit de respiración degradado - se reinicia la fecha y hora por pila interna de 3v obsoleta - tiene artificio en las señales a la hora de leer los datos de terapia en el software - el año máximo al que llega el equipo es 2023 - equipo sin conector plástico de cánula nasal del kit de respiración - carcaza rota donde va la varilla de soporte de la tapa de pila y micro sd,cambio de cable de kit de respiración - cambio de pila interna de 3v - actualización de software para corrección de año y artificio - colocación de conector plástico de cánula nasal del kit de respiración - control de funcionamiento ok - reparación de carcaza - incorporación de varilla de tapa de pila y micro sd
28918,2025-12-29 00:00:00,2025-12-31 11:38:00,RUSSO PABLO MATIAS,BMC,PolyWatch YH-600B,POLÍGRAFO,3662,repuesto,Canula,1.00,10000.00,"","",no sensa flujo y Respiración toracoabdominal por cable de kit de respiración degradado - se reinicia la fecha y hora por pila interna de 3v obsoleta - tiene artificio en las señales a la hora de leer los datos de terapia en el software - el año máximo al que llega el equipo es 2023 - equipo sin conector plástico de cánula nasal del kit de respiración - carcaza rota donde va la varilla de soporte de la tapa de pila y micro sd,cambio de cable de kit de respiración - cambio de pila interna de 3v - actualización de software para corrección de año y artificio - colocación de conector plástico de cánula nasal del kit de respiración - control de funcionamiento ok - reparación de carcaza - incorporación de varilla de tapa de pila y micro sd
28921,2025-12-30 00:00:00,2026-01-19 07:14:00,OXIDOM,Movi-vac,A-550,ASPIRADOR A BATERÍAS,3685,repuesto,Vacuómetro,1.00,52852.50,"","",NO ENCIENDE NI CARGA POR FUSIBLE DE BATERIA ABIERTO - RUIDO POR MOTOR DESMOTADO DE SU BASE - VACUOMETRO DESCALIBRADO,"CAMBIO DE FUSIBLE MINIFICHA 3A - ARMADO DE MOTOR - LIMPIEZA Y LUBRICACION DE MOTOR(con grasa liquida) - REQUIERE CAMBIO DE VACUOMETRO 
ASPIRACION MAXIMA 550mmHg"
28922,2025-12-30 00:00:00,2026-02-09 11:32:00,OXIGENOTERAPIA LOMAS S.A,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,3747,repuesto,Cooler 220V,1.00,35000.00,"","","cooler quemado
Baja concentración",cambio de cooler - cambio de zeolita - control y limpieza del equipo
28922,2025-12-30 00:00:00,2026-02-09 11:32:00,OXIGENOTERAPIA LOMAS S.A,Longfian,JAY-5,CONCENTRADOR DE OXÍGENO,3748,repuesto,CANISTER CEOLITA JAY 5 (EL PAR),1.00,176782.50,130950.00,1504004,"cooler quemado
Baja concentración",cambio de cooler - cambio de zeolita - control y limpieza del equipo
28931,2025-12-31 00:00:00,,RESPIFLOW,Silfab,N-33A,ASPIRADOR,"","","","","","","",devolucion,LIMPIEZA GRAL CONTROL DE FUNCIONAMIENTO
