table_name,pk_value,column_name,old_value,new_value,confidence,method,evidence_url,ts,note
devices,16508,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16543,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16544,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16545,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16546,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16547,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16548,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16549,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16551,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16610,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16616,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16617,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16619,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16632,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16633,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16648,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16649,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16660,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
devices,16661,model_id,15,13,95.42,JW+TokenSort,PENDING,2025-09-18 15:52:52,Merge modelo duplicado
