brand_norm,cluster_id,canonical_model_norm,members,total
RESMED,16,VPAP III,VPAP III,1
RESMED,17,RESMED,RESMED,1
RESMED,18,CPAP AUTO,CPAP AUTO,1
RESMED,19,AUTOSET,AUTOSET,1
RESMED,20,VPAP 2,VPAP 2,1
RESMED,21,AIRSENSE 10,AIRSENSE 10,1
RESMED,22,VP-100,VP-100,1
RESMED,23,BMC,BMC,1
RESMED,24,SP,SP,1
RESMED,25,AUTO SET II,AUTO SET II,1
RESMED,26,AIR SENSE,AIR SENSE,1
RESMED,27,RESPIRONICS,RESPIRONICS,1
RESMED,28,95-003000,95-003000,1
RESMED,29,AIR10,AIR10,1
RESMED,30,III,III,1
RESMED,31,AIR START 10,AIR START 10,1
RESMTART,1,SYSTEM ONE,SYSTEM ONE,1
RESPIRE,1,RE-001,RE-001,10
RESPIRE,2,,,7
RESPIRE,3,REMEDY RENEW,REMEDY RENEW,2
