brand_norm,model_norm,cluster_id,canonical_model_norm
PURITAN BENNETT,425 ST,8,425 ST
PURITAN BENNETT,GOODKNIGHT 420 S,9,GOODKNIGHT 420 S
PURITAN BENNETT,KNIGHT 335,10,KNIGHT 335
PURITAN BENNETT,GOOD NIGHT 425,11,GOOD NIGHT 425
PURITAN BENNETT,840,12,840
PURITAN BENNETT,ORION,13,ORION
PURITAN BENNETT,NPB-290,14,NPB-290
QUAMTUM,HEALTHDYNE,1,HEALTHDYNE
RAZEL,,1,
RAZEL,A-99,2,A-99
REMEDY,AIR SEP,1,AIR SEP
REMEDY,RENEW,2,RENEW
REMEDY,REWEW,3,REWEW
REMEDY,RESPIRE,4,RESPIRE
REMEDY RENEW,,1,
REMSTAR,SERIE M,1,SERIE M
REMSTAR,,2,
REMSTAR,TANGO,3,TANGO
REMSTAR,RESPIRONICS,4,RESPIRONICS
REMSTAR,RESPIRONIC,4,RESPIRONICS
REMSTAR,PHILIPS,5,PHILIPS
REMSTAR,171P,6,171P
REMSTAR,RESPIRONICS SYSTEM ONE,7,RESPIRONICS SYSTEM ONE
REMSTART,SERIE M,1,SERIE M
RES MED,,1,
RESMART,G2,1,G2
RESMART,SERIE M,2,SERIE M
RESMART,25T,3,25T
RESMART,GII,4,GII
RESMART,BMC,5,BMC
RESMART,171,6,171
RESMART,,7,
RESMART,INT,8,INT
RESMART,BMC G1,9,BMC G1
RESMART,G1,10,G1
RESMART,GII Y-25T,11,GII Y-25T
RESMART,GII T25T,12,GII T25T
RESMED,TANGO,1,TANGO
RESMED,S9,2,S9
RESMED,ASTRAL 150,3,ASTRAL 150
RESMED,,4,
RESMED,S7,5,S7
RESMED,VPAP 3,6,VPAP 3
RESMED,SPIRIT,7,SPIRIT
RESMED,MALIBU,8,MALIBU
RESMED,CPAP,9,CPAP
RESMED,S8 ST,10,S8 ST
RESMED,IIIST,11,IIIST
RESMED,ADAPT SV,12,ADAPT SV
RESMED,ADAPT,13,ADAPT
RESMED,ST,14,ST
RESMED,SLEEP,15,SLEEP
RESMED,VPAP III,16,VPAP III
RESMED,RESMED,17,RESMED
RESMED,CPAP AUTO,18,CPAP AUTO
RESMED,AUTOSET,19,AUTOSET
RESMED,VPAP 2,20,VPAP 2
RESMED,AIRSENSE 10,21,AIRSENSE 10
RESMED,VP-100,22,VP-100
RESMED,BMC,23,BMC
RESMED,SP,24,SP
RESMED,AUTO SET II,25,AUTO SET II
RESMED,AIR SENSE,26,AIR SENSE
RESMED,RESPIRONICS,27,RESPIRONICS
RESMED,95-003000,28,95-003000
RESMED,AIR10,29,AIR10
RESMED,III,30,III
RESMED,AIR START 10,31,AIR START 10
RESMTART,SYSTEM ONE,1,SYSTEM ONE
RESPIRE,RE-001,1,RE-001
RESPIRE,,2,
RESPIRE,REMEDY RENEW,3,REMEDY RENEW
RESPIRE,ELECTROMEDICINA,4,ELECTROMEDICINA
RESPIRONICS,SERIE M,1,SERIE M
RESPIRONICS,,2,
RESPIRONICS,IN-171,3,IN-171
RESPIRONICS,HARMONY,4,HARMONY
RESPIRONICS,EVERFLO,5,EVERFLO
RESPIRONICS,REMSTAR,6,REMSTAR
RESPIRONICS,SYSTEM ONE,7,SYSTEM ONE
RESPIRONICS,RESMART,8,RESMART
RESPIRONICS,PRO,9,PRO
RESPIRONICS,SYNCHRONY,10,SYNCHRONY
RESPIRONICS,MILLENIUM,11,MILLENIUM
RESPIRONICS,171,12,171
RESPIRONICS,REMSTAR N171,13,REMSTAR N171
RESPIRONICS,SERIE M LA101,14,SERIE M LA101
RESPIRONICS,CA-300,15,CA-300
RESPIRONICS,SLEEP EASY,16,SLEEP EASY
RESPIRONICS,LA-651,17,LA-651
RESPIRONICS,PLUS,18,PLUS
RESPIRONICS,C-FLEX,19,C-FLEX
RESPIRONICS,DORMA 100,20,DORMA 100
RESPIRONICS,LA651S,21,LA651S
